SL #,Unique Code (SKU),Category,Product Name (English),Product Name (Bangla),Package / Unit,Price (BDT ৳),Stock Status,Image File Name
32,NA-FSH-032,Fish & Vegetables,Freshwater Tengra Fish - Clean Dressed (500g Net),টেংরা মাছ - পরিষ্কার (৫০০ গ্রাম),500g pack,420,Available / In Stock,tengra_fish.jpg
33,NA-FSH-033,Fish & Vegetables,Live Shing Catfish - Clean & Descaled (500g Net),শিং মাছ - জীবন্ত পরিষ্কার (৫০০ গ্রাম),500g pack,580,Available / In Stock,shing_fish.jpg
34,NA-FSH-034,Fish & Vegetables,Fresh Magur Fish - Clean Dressed (500g Net),মাগুর মাছ - পরিষ্কার (৫০০ গ্রাম),500g pack,620,Available / In Stock,magur_fish.jpg
35,NA-FSH-035,Fish & Vegetables,"Deshi Farm Koi Fish - Cleaned (500g Net, 5-6 pcs)","কৈ মাছ - পরিষ্কার (৫০০ গ্রাম, ৫-৬ পিস)",500g pack,380,Available / In Stock,koi_fish.jpg
36,NA-FSH-036,Fish & Vegetables,Padma River Hilsha / Ilish - Grade A Whole (1kg Whole Fish),পদ্মার ইলিশ - গ্রেড এ (১ কেজি আস্ত),1 pc (~1kg),1650,Available / In Stock,ilish_fish.jpg
37,NA-FSH-037,Fish & Vegetables,Padma Hilsha / Ilish Slices - Cut & Cleaned (800g Net),ইলিশের টুকরো - কাটা ও পরিষ্কার (৮০০ গ্রাম),800g (6-8 pieces),1450,Available / In Stock,ilish_fish.jpg
38,NA-FSH-038,Fish & Vegetables,Bagda Tiger Prawns - Cleaned & Deveined (500g Net),বাগদা চিংড়ি - পরিষ্কার (৫০০ গ্রাম),500g pack,680,Available / In Stock,prawns.jpg
39,NA-FSH-039,Fish & Vegetables,Jumbo Galda River Prawns - Head-On Grade A (1kg Net),গলদা চিংড়ি - জাম্বো (১ কেজি),1 kg (6-8 large),1250,Available / In Stock,jumbo_prawns.jpg
40,NA-FSH-040,Fish & Vegetables,Basa Fish Fillet - Skinless Boneless (1kg Family Pack),বাসা ফিশ ফিলে - বোনলেস (১ কেজি ফ্যামিলি প্যাক),1 kg (4-5 fillets),490,Available / In Stock,fish_fillet.jpg
41,NA-VEG-041,Fish & Vegetables,Fresh Red Potatoes / Lal Alu - Kitchen Sack (3kg Bag),দেশি লাল গোল আলু - কিচেন বস্তা (৩ কেজি),3 kg bag,135,Available / In Stock,potatoes.jpg
42,NA-VEG-042,Fish & Vegetables,Fresh Diamond White Potatoes - Value Bag (5kg Sack),ডায়মন্ড সাদা আলু - ভ্যালু বস্তা (৫ কেজি),5 kg sack,195,Available / In Stock,potatoes.jpg
43,NA-VEG-043,Fish & Vegetables,Fresh Local Red Onions / Deshi Piaj - Kitchen Bag (2kg Bag),দেশি লাল পেঁয়াজ - কিচেন ব্যাগ (২ কেজি),2 kg bag,170,Available / In Stock,onions.jpg
44,NA-VEG-044,Fish & Vegetables,Fresh Ripe Red Tomatoes - Fresh Farm Box (2kg Box),পাকা লাল টমেটো - ফার্ম বক্স (২ কেজি),2 kg box,120,Available / In Stock,tomatoes.jpg
45,NA-VEG-045,Fish & Vegetables,Fresh Ginger & Garlic Combo Pack (500g Ginger + 500g Garlic = 1kg),আদা ও রসুন কম্বো প্যাক (৫০০ গ্রাম আদা + ৫০০ গ্রাম রসুন),1 kg Combo,230,Available / In Stock,garlic.jpg
46,NA-VEG-046,Fish & Vegetables,Fresh Spicy Green Chilies & Garlic Kitchen Combo (500g + 500g),কাঁচা মরিচ ও রসুন কম্বো (৫০০ গ্রাম + ৫০০ গ্রাম),1 kg Combo,150,Available / In Stock,green_chilies.jpg
47,NA-VEG-047,Fish & Vegetables,"Fresh Whole Cauliflower - Twin Pack (2 Large Heads, ~2kg)",তাজা ফুলকপি - টুইন প্যাক (২ পিস = ২ কেজি),2 Large Heads,100,Available / In Stock,cauliflower.jpg
48,NA-VEG-048,Fish & Vegetables,"Fresh Green Cabbage - Twin Pack (2 Large Heads, ~2.5kg)",তাজা বাঁধাকপি - টুইন প্যাক (২ পিস = ২.৫ কেজি),2 Large Heads,90,Available / In Stock,cabbage.jpg
49,NA-VEG-049,Fish & Vegetables,Fresh Long Purple Eggplant / Begun - Family Pack (2kg Bag),লম্বা বেগুন - ফ্যামিলি প্যাক (২ কেজি),2 kg bag,120,Available / In Stock,eggplant.jpg
50,NA-VEG-050,Fish & Vegetables,Fresh Crunchy Carrots - Family Pack (2kg Bag),তাজা গাজর - ফ্যামিলি প্যাক (২ কেজি),2 kg bag,140,Available / In Stock,carrots.jpg
51,NA-VEG-051,Fish & Vegetables,Fresh Crisp Green Cucumbers / Shosha - Salad Pack (2kg Bag),তাজা দেশি শসা - সালাদ প্যাক (২ কেজি),2 kg bag,100,Available / In Stock,cucumbers.jpg
52,NA-VEG-052,Fish & Vegetables,"Tender Green Bottle Gourd / Lau - Large Kitchen Grade (2 pcs, ~3kg)",কচি লাউ - কিচেন গ্রেড (২ পিস = ৩ কেজি),2 Large pcs,120,Available / In Stock,bottle_gourd.jpg
53,NA-VEG-053,Fish & Vegetables,"Fresh Green Raw Papaya / Pepe - Twin Pack (2 pcs, ~2.5kg)",কাঁচা পেঁপে - টুইন প্যাক (২ পিস = ২.৫ কেজি),2 pcs (~2.5kg),80,Available / In Stock,raw_papaya.jpg
54,NA-VEG-054,Fish & Vegetables,Fresh Green Pointed Gourd / Potol - Fresh Bag (2kg Bag),তাজা পটল - ফ্রেশ ব্যাগ (২ কেজি),2 kg bag,120,Available / In Stock,bottle_gourd.jpg
55,NA-VEG-055,Fish & Vegetables,Fresh Bitter Gourd / Korola - Family Pack (1kg Bag),তাজা করোলা - ফ্যামিলি প্যাক (১ কেজি),1 kg bag,90,Available / In Stock,bitter_gourd.jpg
56,NA-VEG-056,Fish & Vegetables,Fresh Green Okra / Dherosh - Family Pack (1kg Bag),তাজা ঢেঁড়শ - ফ্যামিলি প্যাক (১ কেজি),1 kg bag,80,Available / In Stock,okra.jpg
57,NA-VEG-057,Fish & Vegetables,Fresh Green Spinach & Red Amaranth Shak Bundle (6 Bunches Assorted),তাজা শাকের মেগা বান্ডিল (৬ আঁটি পালং ও লাল শাক),6 Bunches,110,Available / In Stock,spinach.jpg
58,NA-VEG-058,Fish & Vegetables,Daily Herb & Citrus Essentials Pack (250g Coriander + 250g Chilies + 8 Lemons),"দৈনিক ধনেপাতা, মরিচ ও লেবু প্যাক",Fresh Combo Pack,110,Available / In Stock,lemons.jpg
59,NA-VEG-059,Fish & Vegetables,Complete Daily Veggies Basket (2kg Potato + 1kg Onion + 1kg Tomato + 500g Carrots),দৈনিক কিচেন সবজি বাস্কেট (৪.৫ কেজি মোট),4.5kg Veggie Basket,260,Available / In Stock,tomatoes.jpg
60,NA-PLT-060,Frozen & Poultry,Broiler Chicken Breast Bone Less (500g Fillet Pack),ব্রয়লার চিকেন ব্রেস্ট বোনলেস (৫০০ গ্রাম ফিলে),500g Fillet Pack,420,Available / In Stock,breast_boneless.jpg
61,NA-PLT-061,Frozen & Poultry,Broiler Chicken Thai Bone Less (500g Fillet Pack),ব্রয়লার চিকেন থাই বোনলেস (৫০০ গ্রাম ফিলে),500g Fillet Pack,460,Available / In Stock,thigh_boneless.jpg
62,NA-PLT-062,Frozen & Poultry,"Broiler Chicken Drumsticks (1kg Family Pack, 8-10 pcs)",ব্রয়লার চিকেন ড্রামস্টিক (১ কেজি ফ্যামিলি প্যাক),1 kg (8-10 pcs),750,Available / In Stock,drumsticks.jpg
63,NA-PLT-063,Frozen & Poultry,Broiler Chicken Wings (1kg Family Pack),ব্রয়লার চিকেন উইংস (১ কেজি ফ্যামিলি প্যাক),1 kg pack,550,Available / In Stock,wings.jpg
64,NA-PLT-064,Frozen & Poultry,Broiler Chicken Full Leg Bone Less (500g Fillet Pack),ব্রয়লার চিকেন ফুল লেগ বোনলেস (৫০০ গ্রাম),500g Fillet Pack,440,Available / In Stock,full_leg_boneless.jpg
65,NA-PLT-065,Frozen & Poultry,"Broiler Chicken Full Leg Quarter (1kg Pack, 4 pcs)","ব্রয়লার চিকেন ফুল লেগ (১ কেজি, ৪ পিস)",1 kg (4 pcs),670,Available / In Stock,full_leg.jpg
66,NA-PLT-066,Frozen & Poultry,Broiler Whole Chicken Skin On - Twin Pack (2 x 1kg = 2kg),ব্রয়লার সম্পূর্ণ মুরগি (২ পিস = ২ কেজি),2 kg (2 Birds),450,Available / In Stock,whole_broiler.jpg
67,NA-PLT-067,Frozen & Poultry,Broiler Whole Chicken Skin Less - Twin Pack (2 x 1kg = 2kg),ব্রয়লার স্কিনলেস মুরগি (২ পিস = ২ কেজি),2 kg (2 Birds),510,Available / In Stock,whole_chicken_skinless.jpg
68,NA-PLT-068,Frozen & Poultry,"Sonali Heritage Chicken - Twin Pack (2 Birds, ~1.4kg Dressed)",সোনালি মুরগি - টুইন প্যাক (২ পিস = ১.৪ কেজি),2 Birds (~1.4kg),760,Available / In Stock,sonali_chicken.jpg
69,NA-PLT-069,Frozen & Poultry,"Sonali Heritage Chicken - Large Feast (2 Birds, ~1.9kg Dressed)",সোনালি মুরগি লার্জ - টুইন প্যাক (২ পিস = ১.৯ কেজি),2 Birds (~1.9kg),920,Available / In Stock,sonali_chicken.jpg
70,NA-PLT-070,Frozen & Poultry,"Deshi Duck - Local Haor (1 pc, ~1.2kg Dressed)",দেশি হাঁস - লোকাল (১.২ কেজি আস্ত),1 pc (~1.2kg),650,Available / In Stock,deshi_duck.jpg
71,NA-PLT-071,Frozen & Poultry,"Sylheti Haor Duck - Large Prime (1 pc, ~1.4kg Dressed)",সিলেটি হাওরের হাঁস (১.৪ কেজি পরিষ্কার),1.3-1.4kg pc,780,Available / In Stock,deshi_duck.jpg
72,NA-PLT-072,Frozen & Poultry,"Roast/Local Deshi Chicken - Free Range (2 Birds, ~1.6kg Dressed)",রোস্ট / দেশি মুরগি - টুইন প্যাক (২ পিস = ১.৬ কেজি),2 Birds (~1.6kg),820,Available / In Stock,deshi_chicken.jpg
73,NA-PLT-073,Frozen & Poultry,"Organic Deshi Chicken - Naturolla Fed (1 pc, ~850g Dressed)",অর্গানিক দেশি মুরগি (৮৫০ গ্রাম),1 pc (~850g),540,Available / In Stock,deshi_chicken.jpg
74,NA-PLT-074,Frozen & Poultry,Quail Birds / Koel - Party Pack (8 pcs Clean Dressed),কোয়েল পাখি - পার্টি প্যাক (৮ পিস প্যাকেট),8 pcs pack,600,Available / In Stock,quail.jpg
75,NA-PLT-075,Frozen & Poultry,Pigeon / Kobutor - Pair Pack (2 Pairs / 4 pcs Clean Dressed),কবুতর - ৪ পিস প্যাক (২ জোড়া পরিষ্কার),4 pcs (2 Pairs),950,Available / In Stock,pigeon.jpg
76,NA-PLT-076,Frozen & Poultry,Broiler Chicken Liver-Gizzard (1kg Mega Pack),ব্রয়লার মুরগির কলিজা ও গিলা (১ কেজি মেগা প্যাক),1 kg pack,370,Available / In Stock,liver.jpg
77,NA-PLT-077,Frozen & Poultry,Broiler Chicken Cleaned Feet (1kg Mega Pack),ব্রয়লার মুরগির পা পরিষ্কার (১ কেজি মেগা প্যাক),1 kg pack,290,Available / In Stock,chicken_feet.jpg
78,NA-PLT-078,Frozen & Poultry,Chicken Soup Bones / Neck & Back (2kg Broth Pack),চিকেন স্যুপের হাড় (২ কেজি ব্রথ প্যাক),2 kg pack,270,Available / In Stock,chicken_broth.jpg
79,NA-FRZ-079,Frozen & Poultry,Chicken Bologna Loaf (1200g Jumbo Loaf),চিকেন বোলোনিয়া লোফ (১২০০ গ্রাম জাম্বো),1200g Loaf,750,Available / In Stock,bologna.jpg
80,NA-FRZ-080,Frozen & Poultry,Chicken Samosa - Family Party Box (20 pcs Pack),চিকেন সমুচা - ফ্যামিলি বক্স (২০ পিস),20 pcs pack,450,Available / In Stock,samosa.jpg
81,NA-FRZ-081,Frozen & Poultry,Chicken Spring Roll - Family Party Box (20 pcs Pack),চিকেন স্প্রিং রোল - ফ্যামিলি বক্স (২০ পিস),20 pcs pack,490,Available / In Stock,spring_roll.jpg
82,NA-FRZ-082,Frozen & Poultry,Chicken Sausage - Plain Jumbo Pack (20 pcs Pack),চিকেন সসেজ প্লেইন - জাম্বো প্যাক (২০ পিস),20 pcs pack,560,Available / In Stock,sausage.jpg
83,NA-FRZ-083,Frozen & Poultry,Chicken Sausage - Cheese Loaded (10 pcs Pack),চিকেন চিজ সসেজ (১০ পিস প্যাক),10 pcs pack,360,Available / In Stock,sausage.jpg
84,NA-FRZ-084,Frozen & Poultry,Chicken Nuggets - Mega Box (24 pcs Pack),চিকেন নাগেটস - মেগা বক্স (২৪ পিস),24 pcs pack,590,Available / In Stock,nuggets.jpg
85,NA-FRZ-085,Frozen & Poultry,Chicken Meat Ball - Jumbo Pack (40 pcs Pack),চিকেন মিট বল - জাম্বো প্যাক (৪০ পিস),40 pcs pack,580,Available / In Stock,meatball.jpg
86,NA-FRZ-086,Frozen & Poultry,Chicken Popcorn - Crispy Party Pack (800g Twin Pack),চিকেন পপকর্ন - টুইন প্যাক (৮০০ গ্রাম),800g (2 packs),650,Available / In Stock,chicken_popcorn.jpg
87,NA-FRZ-087,Frozen & Poultry,Chicken Burger Patty - Jumbo Box (12 pcs Pack),চিকেন বার্গার প্যাটি - জাম্বো বক্স (১২ পিস),12 pcs pack,660,Available / In Stock,burger_patty.jpg
88,NA-FRZ-088,Frozen & Poultry,Chicken Shami Kabab - Family Pack (12 pcs Pack),চিকেন শামি কাবাব - ফ্যামিলি প্যাক (১২ পিস),12 pcs pack,540,Available / In Stock,shami_kabab.jpg
89,NA-FRZ-089,Frozen & Poultry,Chicken Seekh Kabab - Gourmet Pack (12 pcs Skewers),চিকেন সিখ কাবাব - গুরমে প্যাক (১২ পিস),12 skewers pack,660,Available / In Stock,seekh_kabab.jpg
90,NA-FRZ-090,Frozen & Poultry,Chicken Steamed Momos / Dumplings - Party Box (24 pcs Pack),চিকেন মোমো / ডাম্পলিং - পার্টি বক্স (২৪ পিস),24 pcs pack,560,Available / In Stock,momos.jpg
91,NA-FRZ-091,Frozen & Poultry,Frozen Green Sweet Peas / Matar (1kg Family Pack),ফ্রোজেন সবুজ মিষ্টি মটরশুঁটি (১ কেজি ফ্যামিলি প্যাক),1 kg pack,270,Available / In Stock,frozen_peas.jpg
92,NA-FRZ-092,Frozen & Poultry,Frozen Sweet Corn Kernels (1kg Family Pack),ফ্রোজেন সুইট কর্ন (১ কেজি ফ্যামিলি প্যাক),1 kg pack,290,Available / In Stock,sweet_corn.jpg
93,NA-FRZ-093,Frozen & Poultry,Frozen Mixed Vegetables (1kg Family Pack),ফ্রোজেন মিক্সড ভেজিটেবল (১ কেজি ফ্যামিলি প্যাক),1 kg pack,310,Available / In Stock,mixed_veg.jpg
94,NA-FRZ-094,Frozen & Poultry,Frozen Crinkle Cut French Fries (2kg Jumbo Pack),ফ্রোজেন ফ্রেঞ্চ ফ্রাইজ (২ কেজি জাম্বো প্যাক),2 kg pack,540,Available / In Stock,french_fries.jpg
95,NA-FRZ-095,Frozen & Poultry,Frozen Crispy Hash Browns (12 pcs Pack),ফ্রোজেন হ্যাশ ব্রাউন (১২ পিস প্যাক),12 pcs pack,420,Available / In Stock,hash_browns.jpg
96,NA-MTN-096,Frozen & Poultry,Khashi / Mutton Curry Cut (1kg Pack),খাসির মাংস - কারি কাট (১ কেজি প্যাক),1 kg pack,1150,Available / In Stock,mutton_curry_cut.jpg
97,NA-MTN-097,Frozen & Poultry,Khashi / Mutton Boneless (1kg Pack),খাসির মাংস - বোনলেস (১ কেজি প্যাক),1 kg pack,1450,Available / In Stock,mutton_boneless.jpg
98,NA-MTN-098,Frozen & Poultry,Khashi / Mutton Leg Whole Raan (1.5kg Whole Cut),খাসির আস্ত রান (১.৫ কেজি আস্ত),1.5kg pc,1750,Available / In Stock,mutton_leg_raan.jpg
99,NA-MTN-099,Frozen & Poultry,Khashi / Mutton Chops / Chaap (1kg Pack),খাসির চাপ / চপস (১ কেজি প্যাক),1 kg pack,1250,Available / In Stock,mutton_chops.jpg
100,NA-MTN-100,Frozen & Poultry,Khashi / Mutton Keema / Mince (1kg Pack),খাসির কিমা - ১ কেজি প্যাক,1 kg pack,1340,Available / In Stock,mutton_keema.jpg
101,NA-MTN-101,Frozen & Poultry,Khashi / Mutton Paya / Trotters (8 pcs Clean Cut Pack),খাসির পায়া (৮ পিস পরিষ্কার প্যাক),8 pcs pack,1050,Available / In Stock,mutton_paya.jpg
